id,use_case,script,column1,data1,data2,value1,value2,pass_fail,result_value,error_message
1,Validate flight code,check_validate_flight_code.py,flight_code,flair_flightdata.csv,valid_flight_codes.csv,,,FAIL,"First 3 flight codes in error: ['F8122', 'F8123', 'F8126'], Number fight codes in error: 9, Number data rows: 100",DATA CHECK ISSUED FAIL
2,Test for outliers,check_outliers.py,flight_gross_fare,flair_flightdata.csv,,5.0,,FAIL,Number of outliers found: 10 : Max Number of Outliers allowed: 5,DATA CHECK ISSUED FAIL
