id,use_case,script,column1,data1,data2,value1,value2,pass_fail,result_value,error_message
1,Test if numeric,check_validate_flight_code.py,flight_code,flair_flightdata.csv,valid_flight_codes.csv,,,PASS,F8120,DATA CHECK ISSUED PASS
2,Test for outliers,check_outliers.py,flight_gross_fare,flair_flightdata.csv,,5.0,,FAIL,,"Traceback (most recent call last):  File ""C:\Users\simon\Documents\py_projects\data_checks\data_checks\777partners_scripts\check_outliers.py"", line 53, in <module>    max_number_of_outliers = int(df.shape[0] * (perc_outlier_limit / 100)) # calculate max number of outliersTypeError: unsupported operand type(s) for /: 'str' and 'int'"
