id,use_case,script,column1,data1,data2,value1,value2,pass_fail,result_value,error_message
1,Test if numeric,check_field_is_numeric.py,flight_code,flair_flightdata.csv,,,,PASS,f8120,DATA CHECK ISSUED PASS
2,Test for outliers,check_outliers.py,gross_fare,flair_flightdata.csv,,5.0,,FAIL,,"Traceback (most recent call last):  File ""C:\Users\simon\Documents\py_projects\data_checks\data_checks\777partners_scripts\check_outliers.py"", line 23, in <module>    max_number_of_outliers = int(df.shape[0] / val_1) # calculate max number of outliersTypeError: unsupported operand type(s) for /: 'int' and 'str'"
